democratic_aligned_senate_seats,combo_id,democratic_winners,republican_winners,democratic_wins_among_six,open_simulation_count,calibrated_joint_probability,calibrated_probability_given_senate_total,calibrated_probability_senate_total_given_combo,conventionality_score,conventionality_percentile_given_senate_total,route_surprisal_nats,rarity_percentile_given_senate_total
52,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,4,0.00044772,0.00311513,0.05130249,0.375402,44.185,5.771484,98.415
52,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,1,0.00018315,0.00127428,0.03229763,-0.440132,19.361,6.665376,99.839
52,IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,IA MI,TX OH AK ME,2,0,0,0,0,-0.184465,,,
52,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,IA,TX OH AK ME MI,1,0,0,0,0,-1,,,
52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,TX OH AK ME MI,IA,5,95,0.0241592,0.16809325,0.36160812,1,81.77,1.783236,8.405
52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,TX OH AK ME,IA MI,4,13,0.00324998,0.0226125,0.23014196,0.184465,42.898,3.789252,81.556
52,IA-R_TX-D_OH-D_AK-D_ME-R_MI-D,TX OH AK MI,IA ME,4,6,0.00513322,0.03571558,0.30441225,0.440132,51.974,3.332168,66.683
52,IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,TX OH AK,IA ME MI,3,0,0,0,0,-0.375402,,,
52,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,TX OH ME MI,IA AK,4,103,0.01123268,0.07815399,0.26366572,1.466215,96.092,2.549074,31.194
52,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,TX OH ME,IA AK MI,3,5,0.00040805,0.00283907,0.04031976,0.65068,64.386,5.86428,99.014
52,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,TX OH MI,IA AK ME,3,2,0.0004325,0.00300924,0.02961764,0.906347,64.701,5.806068,98.721
52,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,TX OH,IA AK ME MI,2,1,0.00001426,0.00009921,0.00177783,0.090813,41.553,9.21829,99.988
52,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,TX AK ME MI,IA OH,4,8,0.00490092,0.03409932,0.296927,0.950269,66.946,3.378478,70.174
52,IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,TX AK ME,IA OH MI,3,0,0,0,0,0.134735,,,
52,IA-R_TX-D_OH-R_AK-D_ME-R_MI-D,TX AK MI,IA OH ME,3,0,0,0,0,0.390402,,,
52,IA-R_TX-D_OH-R_AK-D_ME-R_MI-R,TX AK,IA OH ME MI,2,0,0,0,0,-0.425133,,,
52,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,TX ME MI,IA OH AK,3,5,0.00162619,0.01131462,0.06004017,1.416484,90.756,4.48166,93.233
52,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,TX ME,IA OH AK MI,2,0,0,0,0,0.60095,,,
52,IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,TX MI,IA OH AK ME,2,1,0.00003223,0.00022424,0.0034692,0.856617,64.539,8.40279,99.94
52,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,TX,IA OH AK ME MI,1,0,0,0,0,0.041082,,,
52,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,OH AK ME MI,IA TX,4,33,0.006776,0.04714557,0.23404642,0.958918,71.008,3.054515,54.983
52,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,OH AK ME,IA TX MI,3,4,0.00030077,0.00209271,0.04354051,0.143383,41.663,6.169295,99.518
