democratic_aligned_senate_seats,combo_id,democratic_winners,republican_winners,democratic_wins_among_six,open_simulation_count,calibrated_joint_probability,calibrated_probability_given_senate_total,calibrated_probability_senate_total_given_combo,conventionality_score,conventionality_percentile_given_senate_total,route_surprisal_nats,rarity_percentile_given_senate_total
54,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,IA OH MI,TX AK ME,3,0,0,0,0,-0.134735,,,
54,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,IA OH,TX AK ME MI,2,0,0,0,0,-0.950269,,,
54,IA-D_TX-R_OH-R_AK-D_ME-D_MI-D,IA AK ME MI,TX OH,4,1,0.00062337,0.00792086,0.06187786,-0.090813,11.08,4.838255,97.832
54,IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,IA AK ME,TX OH MI,3,0,0,0,0,-0.906347,,,
54,IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,IA AK MI,TX OH ME,3,0,0,0,0,-0.65068,,,
54,IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,IA AK,TX OH ME MI,2,0,0,0,0,-1.466215,,,
54,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,1,0.00032402,0.00411712,0.03712774,0.375402,74.402,5.4926,99.475
54,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,0,0,0,0,-0.440132,,,
54,IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,IA MI,TX OH AK ME,2,0,0,0,0,-0.184465,,,
54,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,IA,TX OH AK ME MI,1,0,0,0,0,-1,,,
54,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,TX OH AK ME MI,IA,5,21,0.00823943,0.10469416,0.12332547,1,93.092,2.256712,72.381
54,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,TX OH AK ME,IA MI,4,0,0,0,0,0.184465,,,
54,IA-R_TX-D_OH-D_AK-D_ME-R_MI-D,TX OH AK MI,IA ME,4,0,0,0,0,0.440132,,,
54,IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,TX OH AK,IA ME MI,3,0,0,0,0,-0.375402,,,
54,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,TX OH ME MI,IA AK,4,8,0.00131657,0.01672897,0.03090396,1.466215,99.164,4.090613,93.724
54,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,TX OH ME,IA AK MI,3,0,0,0,0,0.65068,,,
54,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,TX OH MI,IA AK ME,3,0,0,0,0,0.906347,,,
54,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,TX OH,IA AK ME MI,2,0,0,0,0,0.090813,,,
54,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,TX AK ME MI,IA OH,4,0,0,0,0,0.950269,,,
54,IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,TX AK ME,IA OH MI,3,0,0,0,0,0.134735,,,
54,IA-R_TX-D_OH-R_AK-D_ME-R_MI-D,TX AK MI,IA OH ME,3,0,0,0,0,0.390402,,,
54,IA-R_TX-D_OH-R_AK-D_ME-R_MI-R,TX AK,IA OH ME MI,2,0,0,0,0,-0.425133,,,
54,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,TX ME MI,IA OH AK,3,0,0,0,0,1.416484,,,
54,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,TX ME,IA OH AK MI,2,0,0,0,0,0.60095,,,
54,IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,TX MI,IA OH AK ME,2,0,0,0,0,0.856617,,,
54,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,TX,IA OH AK ME MI,1,0,0,0,0,0.041082,,,
54,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,OH AK ME MI,IA TX,4,3,0.00103898,0.01320172,0.03588674,0.958918,87.198,4.327408,96.776
54,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,OH AK ME,IA TX MI,3,0,0,0,0,0.143383,,,
54,IA-R_TX-R_OH-D_AK-D_ME-R_MI-D,OH AK MI,IA TX ME,3,0,0,0,0,0.39905,,,
54,IA-R_TX-R_OH-D_AK-D_ME-R_MI-R,OH AK,IA TX ME MI,2,0,0,0,0,-0.416484,,,
54,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,OH ME MI,IA TX AK,3,0,0,0,0,1.425133,,,
54,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,OH ME,IA TX AK MI,2,0,0,0,0,0.609598,,,
54,IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,OH MI,IA TX AK ME,2,0,0,0,0,0.865265,,,
54,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,OH,IA TX AK ME MI,1,0,0,0,0,0.049731,,,
54,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,AK ME MI,IA TX OH,3,0,0,0,0,0.909187,,,
54,IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,AK ME,IA TX OH MI,2,0,0,0,0,0.093653,,,
54,IA-R_TX-R_OH-R_AK-D_ME-R_MI-D,AK MI,IA TX OH ME,2,0,0,0,0,0.34932,,,
54,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,AK,IA TX OH ME MI,1,0,0,0,0,-0.466215,,,
54,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,ME MI,IA TX OH AK,2,0,0,0,0,1.375402,,,
54,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,ME,IA TX OH AK MI,1,0,0,0,0,0.559868,,,
54,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,MI,IA TX OH AK ME,1,0,0,0,0,0.815535,,,
54,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,,IA TX OH AK ME MI,0,0,0,0,0,0,,,
55,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,IA TX OH AK ME MI,,6,91,0.0360877,0.71647511,0.25304743,0,46.547,0.333412,35.824
55,IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,IA TX OH AK ME,MI,5,3,0.00143044,0.02839961,0.09107509,-0.815535,1.42,3.56138,93.965
55,IA-D_TX-D_OH-D_AK-D_ME-R_MI-D,IA TX OH AK MI,ME,5,0,0,0,0,-0.559868,,,
55,IA-D_TX-D_OH-D_AK-D_ME-R_MI-R,IA TX OH AK,ME MI,4,0,0,0,0,-1.375402,,,
55,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,IA TX OH ME MI,AK,5,28,0.00590475,0.11723135,0.12111509,0.466215,88.341,2.143606,77.509
55,IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,IA TX OH ME,AK MI,4,0,0,0,0,-0.34932,,,
55,IA-D_TX-D_OH-D_AK-R_ME-R_MI-D,IA TX OH MI,AK ME,4,0,0,0,0,-0.093653,,,
55,IA-D_TX-D_OH-D_AK-R_ME-R_MI-R,IA TX OH,AK ME MI,3,0,0,0,0,-0.909187,,,
55,IA-D_TX-D_OH-R_AK-D_ME-D_MI-D,IA TX AK ME MI,OH,5,3,0.00267706,0.05314959,0.10983068,-0.049731,5.497,2.934645,86.028
55,IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,IA TX AK ME,OH MI,4,0,0,0,0,-0.865265,,,
55,IA-D_TX-D_OH-R_AK-D_ME-R_MI-D,IA TX AK MI,OH ME,4,0,0,0,0,-0.609598,,,
55,IA-D_TX-D_OH-R_AK-D_ME-R_MI-R,IA TX AK,OH ME MI,3,0,0,0,0,-1.425133,,,
55,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,IA TX ME MI,OH AK,4,1,0.00005461,0.00108426,0.00367229,0.416484,82.425,6.826854,99.946
55,IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,IA TX ME,OH AK MI,3,0,0,0,0,-0.39905,,,
55,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,IA TX MI,OH AK ME,3,0,0,0,0,-0.143383,,,
55,IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,IA TX,OH AK ME MI,2,0,0,0,0,-0.958918,,,
55,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,IA OH AK ME MI,TX,5,3,0.00129357,0.0256822,0.05593826,-0.041082,9.439,3.661957,96.669
55,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,IA OH AK ME,TX MI,4,0,0,0,0,-0.856617,,,
55,IA-D_TX-R_OH-D_AK-D_ME-R_MI-D,IA OH AK MI,TX ME,4,0,0,0,0,-0.60095,,,
55,IA-D_TX-R_OH-D_AK-D_ME-R_MI-R,IA OH AK,TX ME MI,3,0,0,0,0,-1.416484,,,
55,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,IA OH ME MI,TX AK,4,0,0,0,0,0.425133,,,
55,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,IA OH ME,TX AK MI,3,0,0,0,0,-0.390402,,,
55,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,IA OH MI,TX AK ME,3,0,0,0,0,-0.134735,,,
55,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,IA OH,TX AK ME MI,2,0,0,0,0,-0.950269,,,
55,IA-D_TX-R_OH-R_AK-D_ME-D_MI-D,IA AK ME MI,TX OH,4,0,0,0,0,-0.090813,,,
55,IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,IA AK ME,TX OH MI,3,0,0,0,0,-0.906347,,,
55,IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,IA AK MI,TX OH ME,3,0,0,0,0,-0.65068,,,
55,IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,IA AK,TX OH ME MI,2,0,0,0,0,-1.466215,,,
55,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,0,0,0,0,0.375402,,,
55,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,0,0,0,0,-0.440132,,,
55,IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,IA MI,TX OH AK ME,2,0,0,0,0,-0.184465,,,
55,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,IA,TX OH AK ME MI,1,0,0,0,0,-1,,,
55,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,TX OH AK ME MI,IA,5,3,0.00194409,0.03859745,0.02909861,1,97.346,3.254569,90.615
55,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,TX OH AK ME,IA MI,4,0,0,0,0,0.184465,,,
55,IA-R_TX-D_OH-D_AK-D_ME-R_MI-D,TX OH AK MI,IA ME,4,0,0,0,0,0.440132,,,
55,IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,TX OH AK,IA ME MI,3,0,0,0,0,-0.375402,,,
55,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,TX OH ME MI,IA AK,4,1,0.00036455,0.00723771,0.00855715,1.466215,99.638,4.928451,99.53
55,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,TX OH ME,IA AK MI,3,0,0,0,0,0.65068,,,
55,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,TX OH MI,IA AK ME,3,0,0,0,0,0.906347,,,
55,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,TX OH,IA AK ME MI,2,0,0,0,0,0.090813,,,
55,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,TX AK ME MI,IA OH,4,0,0,0,0,0.950269,,,
55,IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,TX AK ME,IA OH MI,3,0,0,0,0,0.134735,,,
55,IA-R_TX-D_OH-R_AK-D_ME-R_MI-D,TX AK MI,IA OH ME,3,0,0,0,0,0.390402,,,
55,IA-R_TX-D_OH-R_AK-D_ME-R_MI-R,TX AK,IA OH ME MI,2,0,0,0,0,-0.425133,,,
55,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,TX ME MI,IA OH AK,3,0,0,0,0,1.416484,,,
55,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,TX ME,IA OH AK MI,2,0,0,0,0,0.60095,,,
55,IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,TX MI,IA OH AK ME,2,0,0,0,0,0.856617,,,
55,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,TX,IA OH AK ME MI,1,0,0,0,0,0.041082,,,
55,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,OH AK ME MI,IA TX,4,1,0.00061161,0.01214271,0.02112528,0.958918,94.809,4.411026,98.561
55,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,OH AK ME,IA TX MI,3,0,0,0,0,0.143383,,,
55,IA-R_TX-R_OH-D_AK-D_ME-R_MI-D,OH AK MI,IA TX ME,3,0,0,0,0,0.39905,,,
55,IA-R_TX-R_OH-D_AK-D_ME-R_MI-R,OH AK,IA TX ME MI,2,0,0,0,0,-0.416484,,,
55,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,OH ME MI,IA TX AK,3,0,0,0,0,1.425133,,,
55,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,OH ME,IA TX AK MI,2,0,0,0,0,0.609598,,,
55,IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,OH MI,IA TX AK ME,2,0,0,0,0,0.865265,,,
55,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,OH,IA TX AK ME MI,1,0,0,0,0,0.049731,,,
55,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,AK ME MI,IA TX OH,3,0,0,0,0,0.909187,,,
55,IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,AK ME,IA TX OH MI,2,0,0,0,0,0.093653,,,
55,IA-R_TX-R_OH-R_AK-D_ME-R_MI-D,AK MI,IA TX OH ME,2,0,0,0,0,0.34932,,,
55,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,AK,IA TX OH ME MI,1,0,0,0,0,-0.466215,,,
55,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,ME MI,IA TX OH AK,2,0,0,0,0,1.375402,,,
55,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,ME,IA TX OH AK MI,1,0,0,0,0,0.559868,,,
55,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,MI,IA TX OH AK ME,1,0,0,0,0,0.815535,,,
55,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,,IA TX OH AK ME MI,0,0,0,0,0,0,,,
56,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,IA TX OH AK ME MI,,6,41,0.01426834,0.79227702,0.10004977,0,50.364,0.232844,39.614
56,IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,IA TX OH AK ME,MI,5,1,0.00051605,0.02865465,0.03285643,-0.815535,1.433,3.55244,96.99
56,IA-D_TX-D_OH-D_AK-D_ME-R_MI-D,IA TX OH AK MI,ME,5,0,0,0,0,-0.559868,,,
56,IA-D_TX-D_OH-D_AK-D_ME-R_MI-R,IA TX OH AK,ME MI,4,0,0,0,0,-1.375402,,,
56,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,IA TX OH ME MI,AK,5,3,0.0005221,0.02899073,0.01070907,0.466215,91.73,3.540779,94.108
56,IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,IA TX OH ME,AK MI,4,1,0.00022942,0.01273919,0.02807341,-0.34932,3.502,4.363072,99.06
56,IA-D_TX-D_OH-D_AK-R_ME-R_MI-D,IA TX OH MI,AK ME,4,0,0,0,0,-0.093653,,,
56,IA-D_TX-D_OH-D_AK-R_ME-R_MI-R,IA TX OH,AK ME MI,3,0,0,0,0,-0.909187,,,
56,IA-D_TX-D_OH-R_AK-D_ME-D_MI-D,IA TX AK ME MI,OH,5,1,0.00119047,0.06610325,0.04884103,-0.049731,7.445,2.716537,89.353
56,IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,IA TX AK ME,OH MI,4,0,0,0,0,-0.865265,,,
56,IA-D_TX-D_OH-R_AK-D_ME-R_MI-D,IA TX AK MI,OH ME,4,0,0,0,0,-0.609598,,,
56,IA-D_TX-D_OH-R_AK-D_ME-R_MI-R,IA TX AK,OH ME MI,3,0,0,0,0,-1.425133,,,
56,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,IA TX ME MI,OH AK,4,1,0.00005461,0.00303247,0.00367229,0.416484,90.129,5.798377,99.848
56,IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,IA TX ME,OH AK MI,3,0,0,0,0,-0.39905,,,
56,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,IA TX MI,OH AK ME,3,0,0,0,0,-0.143383,,,
56,IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,IA TX,OH AK ME MI,2,0,0,0,0,-0.958918,,,
56,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,IA OH AK ME MI,TX,5,0,0,0,0,-0.041082,,,
56,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,IA OH AK ME,TX MI,4,0,0,0,0,-0.856617,,,
56,IA-D_TX-R_OH-D_AK-D_ME-R_MI-D,IA OH AK MI,TX ME,4,0,0,0,0,-0.60095,,,
56,IA-D_TX-R_OH-D_AK-D_ME-R_MI-R,IA OH AK,TX ME MI,3,0,0,0,0,-1.416484,,,
56,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,IA OH ME MI,TX AK,4,0,0,0,0,0.425133,,,
56,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,IA OH ME,TX AK MI,3,0,0,0,0,-0.390402,,,
56,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,IA OH MI,TX AK ME,3,0,0,0,0,-0.134735,,,
56,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,IA OH,TX AK ME MI,2,0,0,0,0,-0.950269,,,
56,IA-D_TX-R_OH-R_AK-D_ME-D_MI-D,IA AK ME MI,TX OH,4,0,0,0,0,-0.090813,,,
56,IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,IA AK ME,TX OH MI,3,0,0,0,0,-0.906347,,,
56,IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,IA AK MI,TX OH ME,3,0,0,0,0,-0.65068,,,
56,IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,IA AK,TX OH ME MI,2,0,0,0,0,-1.466215,,,
56,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,0,0,0,0,0.375402,,,
56,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,0,0,0,0,-0.440132,,,
56,IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,IA MI,TX OH AK ME,2,0,0,0,0,-0.184465,,,
56,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,IA,TX OH AK ME MI,1,0,0,0,0,-1,,,
56,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,TX OH AK ME MI,IA,5,2,0.00122828,0.06820269,0.01838457,1,96.59,2.685271,82.638
56,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,TX OH AK ME,IA MI,4,0,0,0,0,0.184465,,,
56,IA-R_TX-D_OH-D_AK-D_ME-R_MI-D,TX OH AK MI,IA ME,4,0,0,0,0,0.440132,,,
56,IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,TX OH AK,IA ME MI,3,0,0,0,0,-0.375402,,,
56,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,TX OH ME MI,IA AK,4,0,0,0,0,1.466215,,,
56,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,TX OH ME,IA AK MI,3,0,0,0,0,0.65068,,,
56,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,TX OH MI,IA AK ME,3,0,0,0,0,0.906347,,,
56,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,TX OH,IA AK ME MI,2,0,0,0,0,0.090813,,,
56,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,TX AK ME MI,IA OH,4,0,0,0,0,0.950269,,,
56,IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,TX AK ME,IA OH MI,3,0,0,0,0,0.134735,,,
56,IA-R_TX-D_OH-R_AK-D_ME-R_MI-D,TX AK MI,IA OH ME,3,0,0,0,0,0.390402,,,
56,IA-R_TX-D_OH-R_AK-D_ME-R_MI-R,TX AK,IA OH ME MI,2,0,0,0,0,-0.425133,,,
56,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,TX ME MI,IA OH AK,3,0,0,0,0,1.416484,,,
56,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,TX ME,IA OH AK MI,2,0,0,0,0,0.60095,,,
56,IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,TX MI,IA OH AK ME,2,0,0,0,0,0.856617,,,
56,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,TX,IA OH AK ME MI,1,0,0,0,0,0.041082,,,
56,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,OH AK ME MI,IA TX,4,0,0,0,0,0.958918,,,
56,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,OH AK ME,IA TX MI,3,0,0,0,0,0.143383,,,
56,IA-R_TX-R_OH-D_AK-D_ME-R_MI-D,OH AK MI,IA TX ME,3,0,0,0,0,0.39905,,,
56,IA-R_TX-R_OH-D_AK-D_ME-R_MI-R,OH AK,IA TX ME MI,2,0,0,0,0,-0.416484,,,
56,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,OH ME MI,IA TX AK,3,0,0,0,0,1.425133,,,
56,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,OH ME,IA TX AK MI,2,0,0,0,0,0.609598,,,
56,IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,OH MI,IA TX AK ME,2,0,0,0,0,0.865265,,,
56,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,OH,IA TX AK ME MI,1,0,0,0,0,0.049731,,,
56,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,AK ME MI,IA TX OH,3,0,0,0,0,0.909187,,,
56,IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,AK ME,IA TX OH MI,2,0,0,0,0,0.093653,,,
56,IA-R_TX-R_OH-R_AK-D_ME-R_MI-D,AK MI,IA TX OH ME,2,0,0,0,0,0.34932,,,
56,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,AK,IA TX OH ME MI,1,0,0,0,0,-0.466215,,,
56,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,ME MI,IA TX OH AK,2,0,0,0,0,1.375402,,,
56,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,ME,IA TX OH AK MI,1,0,0,0,0,0.559868,,,
56,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,MI,IA TX OH AK ME,1,0,0,0,0,0.815535,,,
56,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,,IA TX OH AK ME MI,0,0,0,0,0,0,,,
57,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,IA TX OH AK ME MI,,6,17,0.00611517,0.90491437,0.04287968,0,45.246,0.099915,45.246
57,IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,IA TX OH AK ME,MI,5,0,0,0,0,-0.815535,,,
57,IA-D_TX-D_OH-D_AK-D_ME-R_MI-D,IA TX OH AK MI,ME,5,0,0,0,0,-0.559868,,,
57,IA-D_TX-D_OH-D_AK-D_ME-R_MI-R,IA TX OH AK,ME MI,4,0,0,0,0,-1.375402,,,
57,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,IA TX OH ME MI,AK,5,1,0.00023428,0.03466835,0.00480541,0.466215,92.225,3.361928,98.267
57,IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,IA TX OH ME,AK MI,4,0,0,0,0,-0.34932,,,
57,IA-D_TX-D_OH-D_AK-R_ME-R_MI-D,IA TX OH MI,AK ME,4,0,0,0,0,-0.093653,,,
57,IA-D_TX-D_OH-D_AK-R_ME-R_MI-R,IA TX OH,AK ME MI,3,0,0,0,0,-0.909187,,,
57,IA-D_TX-D_OH-R_AK-D_ME-D_MI-D,IA TX AK ME MI,OH,5,0,0,0,0,-0.049731,,,
57,IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,IA TX AK ME,OH MI,4,0,0,0,0,-0.865265,,,
57,IA-D_TX-D_OH-R_AK-D_ME-R_MI-D,IA TX AK MI,OH ME,4,0,0,0,0,-0.609598,,,
57,IA-D_TX-D_OH-R_AK-D_ME-R_MI-R,IA TX AK,OH ME MI,3,0,0,0,0,-1.425133,,,
57,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,IA TX ME MI,OH AK,4,0,0,0,0,0.416484,,,
57,IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,IA TX ME,OH AK MI,3,0,0,0,0,-0.39905,,,
57,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,IA TX MI,OH AK ME,3,0,0,0,0,-0.143383,,,
57,IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,IA TX,OH AK ME MI,2,0,0,0,0,-0.958918,,,
57,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,IA OH AK ME MI,TX,5,0,0,0,0,-0.041082,,,
57,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,IA OH AK ME,TX MI,4,0,0,0,0,-0.856617,,,
57,IA-D_TX-R_OH-D_AK-D_ME-R_MI-D,IA OH AK MI,TX ME,4,0,0,0,0,-0.60095,,,
57,IA-D_TX-R_OH-D_AK-D_ME-R_MI-R,IA OH AK,TX ME MI,3,0,0,0,0,-1.416484,,,
57,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,IA OH ME MI,TX AK,4,0,0,0,0,0.425133,,,
57,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,IA OH ME,TX AK MI,3,0,0,0,0,-0.390402,,,
57,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,IA OH MI,TX AK ME,3,0,0,0,0,-0.134735,,,
57,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,IA OH,TX AK ME MI,2,0,0,0,0,-0.950269,,,
57,IA-D_TX-R_OH-R_AK-D_ME-D_MI-D,IA AK ME MI,TX OH,4,0,0,0,0,-0.090813,,,
57,IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,IA AK ME,TX OH MI,3,0,0,0,0,-0.906347,,,
57,IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,IA AK MI,TX OH ME,3,0,0,0,0,-0.65068,,,
57,IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,IA AK,TX OH ME MI,2,0,0,0,0,-1.466215,,,
57,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,0,0,0,0,0.375402,,,
57,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,0,0,0,0,-0.440132,,,
57,IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,IA MI,TX OH AK ME,2,0,0,0,0,-0.184465,,,
57,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,IA,TX OH AK ME MI,1,0,0,0,0,-1,,,
57,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,TX OH AK ME MI,IA,5,1,0.00040828,0.06041729,0.00611108,1,96.979,2.80648,93.512
57,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,TX OH AK ME,IA MI,4,0,0,0,0,0.184465,,,
57,IA-R_TX-D_OH-D_AK-D_ME-R_MI-D,TX OH AK MI,IA ME,4,0,0,0,0,0.440132,,,
57,IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,TX OH AK,IA ME MI,3,0,0,0,0,-0.375402,,,
57,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,TX OH ME MI,IA AK,4,0,0,0,0,1.466215,,,
