democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
218,43,2,0.00010939,98.084,98.551
219,43,4,0.00018827,97.937,98.701
220,43,3,0.00012409,97.804,98.88
221,43,1,0.00006094,97.667,99.1
223,43,5,0.00032547,97.292,99.316
224,43,1,0.00002153,97.044,99.429
226,43,1,0.00002886,96.611,99.557
228,43,1,0.00002698,96.076,99.707
231,43,1,0.00001114,95.102,99.788
232,43,1,0.00007125,94.801,99.814
234,43,1,0.00003154,93.939,99.842
237,43,1,0.00002517,92.621,99.898
240,43,1,0.00000972,90.954,99.911
178,44,2,0.00003653,99.949,13.587
179,44,2,0.00003653,99.933,15.658
182,44,1,0.00001827,99.899,22.634
183,44,1,0.00001827,99.888,25.159
184,44,2,0.00003653,99.878,27.936
186,44,3,0.0000548,99.848,34.119
187,44,1,0.00001827,99.828,36.796
188,44,2,0.00003653,99.81,39.576
189,44,5,0.00009133,99.783,43.197
190,44,7,0.00011604,99.747,46.608
191,44,6,0.00010959,99.714,49.969
192,44,8,0.00014613,99.675,53.235
193,44,6,0.0001096,99.651,56.497
194,44,5,0.00009133,99.627,59.465
195,44,10,0.00017084,99.598,62.618
196,44,11,0.0001891,99.553,64.759
197,44,12,0.00020737,99.497,67.757
198,44,10,0.00016229,99.429,70.082
199,44,18,0.00030514,99.354,72.906
200,44,16,0.00028207,99.275,75.338
201,44,11,0.00019074,99.213,77.48
202,44,13,0.000209,99.166,79.215
203,44,16,0.00026543,99.097,81.203
204,44,18,0.00029333,99.016,82.957
205,44,20,0.00031487,98.929,84.561
206,44,14,0.00023208,98.834,86.166
207,44,23,0.00040489,98.677,87.755
208,44,9,0.0001424,98.575,89.069
209,44,13,0.00021709,98.479,90.432
210,44,8,0.00035466,98.376,91.669
211,44,11,0.00050966,98.258,92.577
212,44,13,0.0005126,98.115,93.445
213,44,5,0.00024122,97.958,94.114
214,44,4,0.00015224,97.818,94.855
215,44,4,0.00016173,97.678,95.486
216,44,4,0.00013054,97.49,96.051
217,44,2,0.00005577,97.311,96.582
218,44,7,0.00027441,97.059,97.041
219,44,2,0.00012192,96.849,97.338
220,44,4,0.00037996,96.632,97.675
221,44,1,0.00006094,96.375,97.843
222,44,2,0.00008247,96.082,98.218
223,44,2,0.0000825,95.761,98.416
225,44,1,0.00006094,95.106,98.722
