sim_id,weight,democratic_house_seats,democratic_aligned_senate_seats,six_state_combo,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile,conventionality_score
7762,0.000138691683,223,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,69.564,39.302,1.416484
7763,0.000123897052,235,49,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,61.002,85.745,1.416484
7764,0.00023268324,218,50,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,74.8,24.95,0.909187
7765,0.000017700525,245,47,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,63.343,99.195,1.425133
7766,0.000045788734,252,49,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,35.73,98.365,0.143383
7767,0.000071739421,235,50,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,52.794,75.16,0.65068
7768,0.000060942045,219,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,95.151,94.212,0
7769,0.000018274969,199,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,98.33,37.537,0.815535
7770,0.00001826505,205,43,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.33,92.479,0
7771,0.000165444654,259,52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,10.485,93.658,1
7772,0.00009123935,258,52,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,11.038,92.818,0.375402
7773,0.000045013282,262,51,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,12.174,97.888,0.466215
7774,0.000073552861,254,52,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,13.527,88.053,1.466215
7775,0.00003550829,215,46,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,94.549,81.68,-1
7776,0.000079743206,232,48,IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,71.739,89.823,0.865265
7777,0.000026976494,222,46,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,90.975,91.98,0.049731
7778,0.000357980595,220,53,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,49.631,2.29,1
7779,0.000019056097,213,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,89.413,45.279,0.609598
7780,0.000209113246,227,52,IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,47.75,18.431,-0.815535
7781,0.000062556279,217,49,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,81.262,38.796,1.375402
7782,0.000159271965,241,52,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,27.973,60.339,-0.041082
7783,0.00001826505,200,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.19,40.915,0
7784,0.000076155542,229,50,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,61.4,59.131,0.375402
7785,0.000176214151,224,51,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,60.171,25.352,0.958918
7786,0.00001826505,201,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.725,63.041,0
7787,0.00001826505,202,43,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.533,88.883,0
7788,0.000208393654,252,53,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,11.139,73.911,1
7789,0.000206022913,232,51,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,48.865,50.279,0.958918
7790,0.00006742981,236,51,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,42.393,62.82,0.425133
7791,0.00001631105,207,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,92.98,26.979,1.375402
7792,0.000007216301,208,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,92.526,29.839,0.609598
7793,0.000207862267,239,49,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,55.063,91.427,0.909187
7794,0.000045013282,251,51,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,23.318,91.767,0.466215
7795,0.000030991639,212,47,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,93.279,60.873,0.559868
7796,0.000162065057,231,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,57.953,64.577,0.60095
7797,0.000045791031,224,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,68.187,42.935,1.425133
7798,0.000007541127,215,46,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,94.549,81.68,0.609598
7799,0.000311794044,227,50,IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,63.953,52.895,0.134735
7800,0.000014708423,192,47,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,98.461,8.728,0.049731
7801,0.000043049238,217,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,86.432,58.272,0.559868
7802,0.000043072615,212,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,90.03,42.043,1.375402
7803,0.000103817773,198,48,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,96.353,8.949,-0.466215
7804,0.000225428441,246,49,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,44.965,96.497,-0.143383
7805,0.000014703266,195,51,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,89.627,0.217,-1
7806,0.00037758493,248,54,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,10.258,45.044,0
7807,0.00001826505,191,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.514,31.784,0
7808,0.000048232545,214,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,94.857,79.846,0
7809,0.000516329684,228,55,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,23.129,1.116,0
7810,0.000603673114,238,55,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,12.683,7.917,0
7811,0.000017036006,212,44,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,98.115,93.445,0.559868
7812,0.000069378621,219,52,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,59.016,6.352,0.425133
7813,0.000502532975,229,54,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,28.631,4.754,1
