cycle,branch,forecastdate,expression,state_district,candidate_last_name,candidate_party,win_probability,forecasted_vote_share,even_odd,race_rating,timestamp
2026,Senate,8/20/26,deluxe,RI,Reed,D,0.99910003,63.004987,1,Solid D,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,RI,McKay,R,0.0009,33.654406,1,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,SD,Rounds,R,0.99839997,61.593932,0,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,SD,Bengs,I,0.0016,38.406068,0,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,ID,Risch,R,0.99772501,57.358656,1,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,ID,Achilles,I,0.002275,34.461658,1,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,AL,Moore,R,0.998025,61.782266,0,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,AL,Wess,D,0.001975,38.217734,0,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,TN,Hagerty,R,0.99852502,59.509408,1,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,TN,Bradshaw,D,0.001475,34.380753,1,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,OK,Hern,R,0.99927503,60.72757,0,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,OK,Priest,D,0.000725,34.21756,0,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,MA,Markey,D,0.99987501,63.840898,1,Solid D,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,MA,Deaton,R,0.000125,31.549201,1,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,WY,Hageman,R,0.99997503,71.885398,0,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,WY,Byrd,D,0.000025,28.114602,0,,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,WV,Capito,R,0.99994999,68.001719,1,Solid R,12:23:29 20 Aug 2026
2026,Senate,8/20/26,deluxe,WV,Fetty Anderson,D,0.00005,31.998281,1,,12:23:29 20 Aug 2026
